,site_id,x,y,area_m2,lon,lat,log_area,cluster
52,nhdhr_63017787,313,44,96264.03502593382,0.4120590574156243,-1.600487319964521,-1.0711864112590923,2
54,nhdhr_63029309,313,43,55126.5552804358,0.4172205659529852,-1.6066959572687838,-1.4102453694800283,2
56,nhdhr_{54ED1D21-2409-40D4-A9FD-6013BC25E2EA},314,44,395288.710952494,0.42995285188639815,-1.6022552941489685,-0.2120658747970447,11
57,nhdhr_63035833,314,44,58717.645937793,0.4307619324825702,-1.5956060606443072,-1.371861518047881,2
59,nhdhr_85819556,317,43,66243.11736959309,0.46719852471778045,-1.6180748086438255,-1.298515779348034,2
60,nhdhr_133132064,319,47,41702.0748334825,0.4942450947070545,-1.5389037844018123,-1.5799871447285934,2
61,nhdhr_131264255,301,68,16749485.029067002,0.27659297734248106,-1.1441139594237373,2.0666252981221747,9
62,nhdhr_74557502,308,51,7379315.363691,0.3576402672486714,-1.4615471729860803,1.56807744049664,8
63,nhdhr_90882825,306,67,3899376.25899055,0.337370699933945,-1.1505796301576627,1.1801171629670262,8
64,nhdhr_136593476,318,64,90460410.82744241,0.48175731810437955,-1.2148036452808366,3.092411548199027,9
65,nhdhr_38952979,301,47,40656.5952022802,0.27745441595427794,-1.5389087503174013,-1.5954296788558784,2
66,nhdhr_40518825,305,46,432094.220821444,0.32013398484354355,-1.5501193130398592,-0.15791792923707546,11
67,nhdhr_40985241,307,46,67177.62638639839,0.34323422745364796,-1.5625837047830475,-1.2899954529895492,2
69,nhdhr_120024007,308,45,41635.6514815837,0.36374561933650285,-1.5784802521596593,-1.5809566902866599,2
71,nhdhr_62967535,311,43,97634.7785992017,0.39061008575424144,-1.6126156351604688,-1.0625868302779202,2
75,nhdhr_62982465,314,43,653231.196873069,0.4274447025356558,-1.6080298805999267,0.09345077873968387,11
76,nhdhr_63033549,314,46,322098.145654938,0.4292212895627135,-1.567088880886228,-0.3366045819024901,11
77,nhdhr_62994285,315,44,49814.586429568895,0.43918677102444714,-1.597862964490262,-1.4718722320607773,2
80,nhdhr_140749048,291,71,12139300.6893215,0.15700080336042088,-1.0858060648507963,1.8708282893073105,8
83,nhdhr_41218869,301,44,40051.061672058,0.2721384622061998,-1.5925417088890335,-1.6045565221907414,2
84,nhdhr_38952121,301,44,64022.1102293022,0.2779381500340286,-1.5887753264361943,-1.3192578700707256,2
85,nhdhr_131265489,302,66,437987.64031899,0.2901881745586862,-1.1777532744062646,-0.14967839103655206,11
88,nhdhr_63025987,312,46,164869.359459989,0.4024123491129109,-1.5502121068329173,-0.7439296819609116,2
89,nhdhr_63003815,313,45,62030.022379732196,0.4137486874869167,-1.568176130157235,-1.3384836265837539,2
90,nhdhr_63018079,313,44,54482.710883980595,0.41404973208455914,-1.6031683683934408,-1.4173907873902742,2
92,nhdhr_63033735,314,43,2547491.83189202,0.42432981930538766,-1.6108415714761695,0.9211944681476406,8
95,nhdhr_85802552,317,44,81840.9831584711,0.4690849035240684,-1.5923065831962362,-1.169910254604549,2
96,nhdhr_133132504,320,46,101731.846047111,0.4996269585361205,-1.5588021273807946,-1.0375850580269181,2
98,nhdhr_140747222,292,72,6066321.0528435,0.16888418714620024,-1.0549634051793886,1.4489102569823005,8
100,nhdhr_128383407,295,84,94825060.41782281,0.2032168249530385,-0.8229898903556343,3.1210716253387565,9
101,nhdhr_86413139,302,72,80088869.7670304,0.2894098098473775,-1.0619672460590726,3.0183455955720406,9
103,nhdhr_38950285,300,47,109601.95892111599,0.25733691366014116,-1.5425703731334959,-0.9922638097453665,2
104,nhdhr_41225905,301,43,72355.7440522602,0.2751596233294151,-1.6130379934089083,-1.2448325027481286,2
106,nhdhr_40511982,303,47,103232.219938605,0.2936625305243605,-1.5385727011164898,-1.0286803739321808,2
108,nhdhr_40984781,307,46,81116.7252802299,0.3471161279845436,-1.5664941828847758,-1.1753166794199077,2
111,nhdhr_41003667,310,46,113927.213714666,0.3835840588313929,-1.5623224645615723,-0.9687230385780753,2
112,nhdhr_41004061,310,46,176124.82346147302,0.3839670742417153,-1.5636992991757952,-0.7037632531996922,2
114,nhdhr_63005563,312,47,63767.3464027271,0.4019943381387237,-1.5416092315990515,-1.321682984883696,2
115,nhdhr_63026399,312,46,39946.6426430568,0.4104141146730332,-1.561019695391497,-1.6061443059733833,2
116,nhdhr_63018081,313,44,48498.3264908516,0.41363183402616116,-1.601985527469882,-1.4881594174506882,2
118,nhdhr_88032053,313,66,200499.502145887,0.4177862817046125,-1.1725604236216245,-0.6249268184368684,12
119,nhdhr_63033615,314,44,1933323.11178505,0.4275618583088479,-1.5973845624560001,0.7534061208497739,8
120,nhdhr_63033637,314,45,590403.517113374,0.428014885858378,-1.5830234275861534,0.031944839647854356,11
123,nhdhr_62979869,316,46,93305.55675912369,0.4506344030170166,-1.5659460201266253,-1.0901719952119624,2
